review_id,store_id,source_name,rated_at,rating_5,review_text,is_promo,reviewer,raw_rating_scale,sentiment
be_32441_1,32441,befood,2026-03-06 13:11:00,5.0,Ngon xỉu,0,,5,positive
be_32441_2,32441,befood,2026-03-21 14:41:00,5.0,"Ngon xỉu, Đáng đồng tiền",0,,5,positive
be_32441_3,32441,befood,2026-03-20 21:57:00,5.0,"Sạch sẽ, Đáng đồng tiền, Ngon xỉu, Đóng gói tốt",0,,5,positive
be_32441_4,32441,befood,2026-03-18 22:02:00,5.0,"Ngon xỉu, Đáng đồng tiền, Đóng gói tốt, Sạch sẽ",0,,5,positive
be_32441_5,32441,befood,2026-03-13 22:16:00,5.0,"Sạch sẽ, Đáng đồng tiền, Ngon xỉu, Đóng gói tốt",0,,5,positive
be_32441_6,32441,befood,2026-03-22 21:43:00,3.0,Không hợp khẩu vị,0,,5,neutral
be_32441_7,32441,befood,2026-03-23 15:22:00,3.0,nước cam ép mà như nước lọc,0,,5,neutral
be_32441_8,32441,befood,2026-03-11 20:22:00,2.0,"mình có ghi đổi tôm sang xích cho mình nhưng k quá cắt luôn cả tôm cả xúc xích vậy hay cho thêm mới có 2 miếng xúc xích vậy trời 
mà với em đặt mì thập cẩm giá nó cũng đã cao hơn r chịu làm càng ngày càng chán",0,,5,negative
be_32441_9,32441,befood,2026-03-13 22:17:00,1.0,thiếu đồ,0,,5,negative
be_32441_10,32441,befood,,5.0,,0,,5,positive
be_32441_11,32441,befood,2026-03-24 14:45:00,5.0,,0,,5,positive
be_32441_12,32441,befood,2026-03-24 11:29:00,5.0,,0,,5,positive
be_32441_13,32441,befood,2026-03-24 08:46:00,5.0,,0,,5,positive
be_32441_14,32441,befood,2026-03-20 18:31:00,5.0,,0,,5,positive
be_32441_15,32441,befood,2026-03-17 17:54:00,5.0,,0,,5,positive
be_32441_16,32441,befood,2026-03-17 10:48:00,5.0,,0,,5,positive
be_32441_17,32441,befood,2026-03-17 08:43:00,5.0,,0,,5,positive
be_32441_18,32441,befood,2026-03-09 21:02:00,5.0,,0,,5,positive
be_32441_19,32441,befood,2026-03-08 21:18:00,5.0,,0,,5,positive
be_32441_20,32441,befood,2026-03-05 19:52:00,5.0,,0,,5,positive
foody_17778262,32441,foody,2023-08-03 00:00:00,5.0,"Mì Cay Seoul - Trần Đại Nghĩa Đúng chuẩn vị mỳ cay Hàn Quốc, không gian quán rộng rãi, tiện nghi gần các trường đại học, giá cả phải chăng phù hợp học sinh, sinh viên",0,Ngọc Bích,10,positive
foody_13562011,32441,foody,2021-07-04 00:00:00,2.7,"Mì Cay Seoul - Trần Đại Nghĩa Mì cay dở như mì gói, ít hơn so với giá, nước đào nhạt nhẽo. Nch là ko hài lòng",0,Chiến Quang,10,neutral
foody_5975774,32441,foody,2020-06-25 00:00:00,1.9,"Chán Chán cực, chả khác j mua gói mì về tự úp, nước canh quá bình thường còn lợ lợ ngọt giả tạo, thà úp mì đổ gói sốt vào còn ngon hơn, quá thật vọng khi order món này",0,hlinh8300,10,negative
foody_3750807,32441,foody,2019-12-24 00:00:00,4.0,"ngon như ở Yên Lãng m đọc review cả fb lẫn foody đều chê tới tấp :)) nhưng vì gần nhà nên vẫn qua ăn m ăn đúng trưa CN nên quán đông lắm nhưng đợi 10 15' là đủ đồ nhân viên nhanh nhẹn, nhớ order, ko niềm nở nhưng m cũng ko cần niềm nở hớn hở lắm :)) m ăn mì cay hải sản cấp độ 0, nước ngon, mì ngon, nhân thì chủ yếu là mấy viên thả lẩu, 2 tôm, 1 ít mực miếc j đó khoai lắc phomai ăn khá ngon 2 ng ăn 2 mì, 1 khoai, 1 pepsi hết 135k hay sao ấy m thấy ấm no ngon lành chả hiểu mng chê gì :))",0,Phương Bùi,10,positive
foody_3543229,32441,foody,2019-11-28 00:00:00,2.1,"Thái độ nhân viên quá tệ Có 1 bạn order đồ cho bọn mình với giọng rất khó chịu. Sau khi bọn kình order xong, bạn ý cầm tờ menu lẳng ra bàn ngay phía sau bọn mình và kéo cửa rất mạnh. Chắc khó ở à??? Dù mỳ ở quán ngon thực sự. Nhưng quán nên nhắc nhở các bạn nhân viên về thái độ phục vụ ạ.",0,Nguyễn Ly,10,neutral
foody_3470206,32441,foody,2019-11-18 00:00:00,3.9,"Mì Cay Seoul - Trần Đại Nghĩa Mỳ cay seoul – 91 Trần Đại Nghĩa Ngay gần trường Kinh tế quốc dân nên cũng hay lượn ra đây ăn lắm. Nhớ hồi trước mới ra đi đâu cũng nhan nhản quán mỳ cay, giờ thì đỡ hơn rồi ))) Về chất lượng, mình thì cũng không ăn được cay lắm nên gọi mức cay thấp nhất thôi. Tô mì cũng đầy đặn, xúc xích, tôm, nấm, rau… Mình toàn gọi thêm topping nên trông tô mì mới được như này đó ))) Quán cũng bán các loại đồ uống, trà sữa ăn vặt các thứ. Không gian quán cũng rộng và sạch, phục vụ đồ nhanh.",0,Lười Ỉn,10,neutral
