src_id,relation,dst_id,graph_version
restaurant:88782,HAS_CUISINE,cuisine:Cơm Gà Guu Chicken,kg_20260602_172448
restaurant:61570,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:123151,HAS_CUISINE,cuisine:Mỳ Quảng,kg_20260602_172448
restaurant:89400,HAS_CUISINE,cuisine:Bún Chả,kg_20260602_172448
restaurant:89681,HAS_CUISINE,cuisine:MÓN ĂN VẶT,kg_20260602_172448
restaurant:25452,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:2267,HAS_CUISINE,cuisine:Bún chả Hà Nội,kg_20260602_172448
restaurant:67492,HAS_CUISINE,cuisine:Lươn,kg_20260602_172448
restaurant:126555,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:18796,HAS_CUISINE,cuisine:Phở Bò,kg_20260602_172448
restaurant:134250,HAS_CUISINE,cuisine:Mỳ Cay 7 cấp độ,kg_20260602_172448
restaurant:134680,HAS_CUISINE,cuisine:Đồ Ăn,kg_20260602_172448
restaurant:36147,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:40014,HAS_CUISINE,cuisine:bánh cuốn,kg_20260602_172448
restaurant:54641,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:37364,HAS_CUISINE,cuisine:Gà,kg_20260602_172448
restaurant:6930,HAS_CUISINE,cuisine:MÓN PHỤ,kg_20260602_172448
restaurant:42458,HAS_CUISINE,cuisine:MENU,kg_20260602_172448
restaurant:56543,HAS_CUISINE,cuisine:MÓN MỚI MÙA HÈ,kg_20260602_172448
restaurant:62951,HAS_CUISINE,cuisine:Bún Hải Sản,kg_20260602_172448
restaurant:31215,HAS_CUISINE,cuisine:Cơm Rang Gia Truyền Nam Định,kg_20260602_172448
restaurant:67574,HAS_CUISINE,cuisine:Best Seller,kg_20260602_172448
restaurant:7160,HAS_CUISINE,cuisine:Combo + Coca,kg_20260602_172448
restaurant:117526,HAS_CUISINE,cuisine:Cơm,kg_20260602_172448
restaurant:8919,HAS_CUISINE,cuisine:Combo,kg_20260602_172448
restaurant:123211,HAS_CUISINE,cuisine:Cơm Tấm,kg_20260602_172448
restaurant:50258,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:111026,HAS_CUISINE,cuisine:Cơm Ngon Cả Ngày,kg_20260602_172448
restaurant:27416,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:136086,HAS_CUISINE,cuisine:Deal Hời 20,kg_20260602_172448
restaurant:117708,HAS_CUISINE,cuisine:Cơm Gà,kg_20260602_172448
restaurant:118277,HAS_CUISINE,cuisine:Phở - Mì - Miến Nước-Phở Trộn-Bún Trộn,kg_20260602_172448
restaurant:73491,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:8805,HAS_CUISINE,cuisine:Gà Sốt Me Cay,kg_20260602_172448
restaurant:81353,HAS_CUISINE,cuisine:Món chính,kg_20260602_172448
restaurant:77167,HAS_CUISINE,cuisine:Bún,kg_20260602_172448
restaurant:32462,HAS_CUISINE,cuisine:Trộn,kg_20260602_172448
restaurant:77657,HAS_CUISINE,cuisine:GÀ RÁN GIÒNNNN,kg_20260602_172448
restaurant:23407,HAS_CUISINE,cuisine:Cơm Rang - Mì Xào,kg_20260602_172448
restaurant:15964,HAS_CUISINE,cuisine:MENU,kg_20260602_172448
restaurant:13998,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:133949,HAS_CUISINE,cuisine:Món Bán Chạy,kg_20260602_172448
restaurant:9606,HAS_CUISINE,cuisine:Cơm Siêu Tiết Kiệm,kg_20260602_172448
