id,node_type,name,normalized_name,graph_version,data_version
menu_item:2695607,MenuItem,Cơm Gà Rang VIP,cơm gà rang vip,kg_20260602_172448,offline
menu_item:2695608,MenuItem,Cơm Gà Chua Ngọt VIP,cơm gà chua ngọt vip,kg_20260602_172448,offline
menu_item:5600266,MenuItem,Cơm Thịt Trưng Mắm Tép VIP,cơm thịt trưng mắm tép vip,kg_20260602_172448,offline
menu_item:5600267,MenuItem,Cơm Thịt Kho Tàu VIP,cơm thịt kho tàu vip,kg_20260602_172448,offline
menu_item:8133304,MenuItem,Cơm Thịt Heo Quay VIP,cơm thịt heo quay vip,kg_20260602_172448,offline
menu_item:8133317,MenuItem,Cơm Tôm Rang VIP,cơm tôm rang vip,kg_20260602_172448,offline
menu_item:2695590,MenuItem,cơm gà sốt chua ngọt + coca,cơm gà sốt chua ngọt + coca,kg_20260602_172448,offline
menu_item:2695595,MenuItem,Cơm gà chua ngọt + fanta,cơm gà chua ngọt + fanta,kg_20260602_172448,offline
menu_item:2695603,MenuItem,Cơm 2 miếng gà chiên mắm + coca,cơm 2 miếng gà chiên mắm + coca,kg_20260602_172448,offline
menu_item:2695606,MenuItem,Cơm 2 miếng gà chiên mắm + sprite,cơm 2 miếng gà chiên mắm + sprite,kg_20260602_172448,offline
menu_item:7617183,MenuItem,Combo Cơm Gà Lọc Xương Sốt BBQ + Pepsi,combo cơm gà lọc xương sốt bbq + pepsi,kg_20260602_172448,offline
menu_item:7617184,MenuItem,Combo Cơm bò xào sốt tiêu đen + Pepsi,combo cơm bò xào sốt tiêu đen + pepsi,kg_20260602_172448,offline
menu_item:7617185,MenuItem,Combo Cơm Gà Sốt cay ngọt + Pepsi,combo cơm gà sốt cay ngọt + pepsi,kg_20260602_172448,offline
menu_item:7617186,MenuItem,[Deal Hot] Combo Cơm sườn thăn chiên xù Nhật + Pepsi,[deal hot] combo cơm sườn thăn chiên xù nhật + pepsi,kg_20260602_172448,offline
menu_item:230344,MenuItem,Cơm sườn thăn chiên xù Nhật,cơm sườn thăn chiên xù nhật,kg_20260602_172448,offline
menu_item:230336,MenuItem,Cơm gà lọc xương sốt cay ngọt,cơm gà lọc xương sốt cay ngọt,kg_20260602_172448,offline
menu_item:230338,MenuItem,Cơm gà lọc xương sốt BBQ,cơm gà lọc xương sốt bbq,kg_20260602_172448,offline
menu_item:230335,MenuItem,Cơm gà lọc xương sốt Teriyaki kiểu Nhật,cơm gà lọc xương sốt teriyaki kiểu nhật,kg_20260602_172448,offline
menu_item:230345,MenuItem,Cơm bò xào sốt tiêu đen,cơm bò xào sốt tiêu đen,kg_20260602_172448,offline
menu_item:342013,MenuItem,Cơm Bò xào sốt tiêu đen + pepsi,cơm bò xào sốt tiêu đen + pepsi,kg_20260602_172448,offline
menu_item:342014,MenuItem,Cơm Gà lọc xương sốt BBQ + pepsi,cơm gà lọc xương sốt bbq + pepsi,kg_20260602_172448,offline
menu_item:342161,MenuItem,Cơm sườn thăn chiên xù Nhật+ pepsi,cơm sườn thăn chiên xù nhật+ pepsi,kg_20260602_172448,offline
menu_item:9481930,MenuItem,Cơm gà lọc xương sốt cay ngọt + pepsi,cơm gà lọc xương sốt cay ngọt + pepsi,kg_20260602_172448,offline
menu_item:342011,MenuItem,Combo 2 Gà + 1 Nước,combo 2 gà + 1 nước,kg_20260602_172448,offline
menu_item:342012,MenuItem,Combo 1 Gà + 1 Nước,combo 1 gà + 1 nước,kg_20260602_172448,offline
