store_id,aspect_name,mention_count,positive_mentions,negative_mentions,neutral_mentions,aspect_sentiment,evidence_sources
5117,taste,19,6,8,5,negative,befood|foody|google
5117,value_for_money,11,2,6,3,negative,foody|google
5117,cleanliness,8,2,2,4,mixed,befood|foody|google
5117,space,7,2,2,3,mixed,foody|google
5117,staff_service,5,1,1,3,mixed,foody|google
5117,delivery_accuracy,2,0,1,1,mixed_negative,foody
