store_id,category_type,category_value,source_name
86930,foody_cuisine,Món Miền Nam,foody_hust_places
86930,foody_cuisine,Tây Nguyên,foody_hust_places
86930,foody_audience,Sinh viên,foody_hust_places
86930,foody_audience,Cặp đôi,foody_hust_places
86930,foody_audience,Gia đình,foody_hust_places
86930,foody_audience,Nhóm hội,foody_hust_places
86930,foody_audience,Giới văn phòng,foody_hust_places
86930,foody_audience,Giới Manager,foody_hust_places
86930,foody_audience,Khách du lịch,foody_hust_places
86930,foody_audience,Trẻ em,foody_hust_places
86930,menu_category,Menu,menu_item_from_top5_json
117526,primary,Cơm/Cơm tấm,store_from_top5_json
117526,google_type,Nhà hàng Trung Quốc có giao hàng,google_maps_unique
117526,foody_category,Quán ăn,foody_hust_places
117526,menu_category,Cơm,menu_item_from_top5_json
117526,menu_category,Gọi Thêm,menu_item_from_top5_json
117526,menu_category,Đồ Uống,menu_item_from_top5_json
6930,primary,Cơm/Cơm tấm,store_from_top5_json
6930,google_type,Nhà hàng,google_maps_unique
6930,google_type,Nhà hàng Singapore,google_maps_unique
6930,foody_category,NhÃ  hÃ ng,foody_hust_places
6930,foody_cuisine,Singapore,foody_hust_places
6930,foody_audience,Gia Ä‘Ã¬nh,foody_hust_places
6930,foody_audience,NhÃ³m há»™i,foody_hust_places
6930,wifi,Kombo ngon::12345678|Kombo ngon::12345678,foody_hust_places
6930,menu_category,MÓN PHỤ,menu_item_from_top5_json
6930,menu_category,MÓN SALAD,menu_item_from_top5_json
6930,menu_category,ĐỒ UỐNG,menu_item_from_top5_json
6930,menu_category,CƠM NIÊU SINGAPORE KOMBO,menu_item_from_top5_json
6930,menu_category,MÓN CANH - RAU,menu_item_from_top5_json
6930,menu_category,MÓN ĂN KÈM,menu_item_from_top5_json
6930,menu_category,MÓN ĂN CHƠI,menu_item_from_top5_json
31215,primary,Cơm/Cơm tấm,store_from_top5_json
31215,google_type,Cửa hàng tạp phẩm,google_maps_unique
31215,foody_category,Quán ăn,foody_hust_places
31215,menu_category,Cơm Rang Gia Truyền Nam Định,menu_item_from_top5_json
