store_id,category_type,category_value,source_name
92263,menu_category,"SỮA RỬA MẶT, BÔNG TẨY TRANG",menu_item_from_top5_json
92263,menu_category,"GIẤY ĂN, KHĂN ƯỚT",menu_item_from_top5_json
92263,menu_category,CƠM CHÁY,menu_item_from_top5_json
113989,primary,Món chay,store_from_top5_json
113989,google_type,Nhà hàng cho người ăn chay,google_maps_unique
113989,foody_category,Ăn chay,foody_hust_places
113989,menu_category,Combo Ưu Đãi Hôm Nay,menu_item_from_top5_json
113989,menu_category,Bánh Mì - Xôi Xéo,menu_item_from_top5_json
113989,menu_category,Bánh Bao,menu_item_from_top5_json
113989,menu_category,Cơm Trộn Hàn Quốc - Cơm Rang,menu_item_from_top5_json
113989,menu_category,Bún - Mì - Miến,menu_item_from_top5_json
113989,menu_category,Ăn Nhẹ - Đồ Đóng Gói,menu_item_from_top5_json
113989,menu_category,Đồ Uống,menu_item_from_top5_json
72995,primary,Ăn vặt,store_from_top5_json
72995,google_type,Nhà hàng món nướng,google_maps_unique
72995,foody_category,Shop Online,foody_hust_places
72995,foody_cuisine,Món Việt,foody_hust_places
72995,menu_category,Thực Đơn Món Chiên,menu_item_from_top5_json
72995,menu_category,Đồ Uống,menu_item_from_top5_json
72995,menu_category,Món Hot,menu_item_from_top5_json
72995,menu_category,Đồ Chấm Mua Thêm,menu_item_from_top5_json
72995,menu_category,Chế Biến Viên Mua Lẻ,menu_item_from_top5_json
9934,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
9934,google_type,Nhà hàng châu Á,google_maps_unique
9934,foody_category,Quán ăn,foody_hust_places
9934,foody_cuisine,Món Huế,foody_hust_places
9934,foody_audience,Gia đình,foody_hust_places
9934,foody_audience,Nhóm hội,foody_hust_places
9934,foody_audience,Giới văn phòng,foody_hust_places
9934,menu_category,Bún bò,menu_item_from_top5_json
7160,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
7160,google_type,Nhà hàng Việt Nam,google_maps_unique
7160,google_type,Quán mì,google_maps_unique
7160,foody_category,Quán ăn,foody_hust_places
7160,foody_cuisine,Món Việt,foody_hust_places
7160,foody_audience,Cặp đôi,foody_hust_places
7160,foody_audience,Gia đình,foody_hust_places
7160,foody_audience,Giới văn phòng,foody_hust_places
7160,menu_category,Combo + Coca,menu_item_from_top5_json
7160,menu_category,Menu chính,menu_item_from_top5_json
7160,menu_category,Đồ uống thêm,menu_item_from_top5_json
7160,menu_category,Dụng cụ ăn uống,menu_item_from_top5_json
7160,menu_category,Menu,menu_item_from_top5_json
22758,primary,Cơm/Cơm tấm,store_from_top5_json
22758,google_type,Chùa phật giáo,google_maps_unique
22758,google_type,Chùa,google_maps_unique
22758,google_type,Điểm thu hút khách du lịch,google_maps_unique
22758,foody_category,Shop Online,foody_hust_places
22758,foody_cuisine,Món Việt,foody_hust_places
22758,foody_audience,Sinh viên,foody_hust_places
22758,foody_audience,Gia đình,foody_hust_places
22758,foody_audience,Giới văn phòng,foody_hust_places
22758,menu_category,XÔI CHIÊN,menu_item_from_top5_json
22758,menu_category,CƠM,menu_item_from_top5_json
22758,menu_category,TRÀ SỮA,menu_item_from_top5_json
22758,menu_category,MỲ,menu_item_from_top5_json
22758,menu_category,ĂN VẶT,menu_item_from_top5_json
22758,menu_category,ĐỒ UỐNG,menu_item_from_top5_json
67067,primary,Cà Phê/Trà,store_from_top5_json
67067,google_type,Cửa hàng trà,google_maps_unique
67067,menu_category,Menu,menu_item_from_top5_json
111026,primary,Cơm/Cơm tấm,store_from_top5_json
111026,google_type,Nhà hàng châu Á,google_maps_unique
111026,foody_category,Quán ăn,foody_hust_places
111026,foody_cuisine,Món Việt,foody_hust_places
111026,foody_audience,Gia đình,foody_hust_places
111026,foody_audience,Nhóm hội,foody_hust_places
111026,foody_audience,Giới văn phòng,foody_hust_places
111026,menu_category,Cơm Ngon Cả Ngày,menu_item_from_top5_json
111026,menu_category,Món Âu Trọn Bữa,menu_item_from_top5_json
111026,menu_category,Món Ăn Kèm,menu_item_from_top5_json
8919,primary,Cơm/Cơm tấm,store_from_top5_json
8919,google_type,Cửa hàng tạp phẩm,google_maps_unique
8919,foody_category,Shop/Cửa hàng,foody_hust_places
8919,menu_category,Combo,menu_item_from_top5_json
8919,menu_category,Hot deal,menu_item_from_top5_json
8919,menu_category,Đồ ăn,menu_item_from_top5_json
8919,menu_category,Đồ uống,menu_item_from_top5_json
8919,menu_category,Nước ép nguyên chất,menu_item_from_top5_json
8919,menu_category,Trà Hoa quả Mẹ Shin,menu_item_from_top5_json
8919,menu_category,Deal hot on now,menu_item_from_top5_json
62366,primary,Cà Phê/Trà,store_from_top5_json
62366,google_type,Quán cà phê,google_maps_unique
62366,menu_category,Coffee,menu_item_from_top5_json
62366,menu_category,Others,menu_item_from_top5_json
120238,primary,Trà sữa,store_from_top5_json
120238,google_type,Quán cà phê,google_maps_unique
120238,foody_category,Café/Dessert,foody_hust_places
120238,menu_category,BST Hào Môn,menu_item_from_top5_json
120238,menu_category,BST Thanh Tân,menu_item_from_top5_json
120238,menu_category,"Món Mới Phải Thử - BST ""Bung Hương"" (Trà Sữa Healthy)",menu_item_from_top5_json
120238,menu_category,Trà Sữa,menu_item_from_top5_json
120238,menu_category,Trà Sữa Đặc Biệt,menu_item_from_top5_json
120238,menu_category,Sữa Tươi,menu_item_from_top5_json
120238,menu_category,Trà Trái Cây,menu_item_from_top5_json
120238,menu_category,Đồ Đá Xay,menu_item_from_top5_json
120238,menu_category,Matcha,menu_item_from_top5_json
120238,menu_category,Cà Phê Pha Máy,menu_item_from_top5_json
120238,menu_category,Chocolate,menu_item_from_top5_json
120238,menu_category,Đồ Uống Nóng,menu_item_from_top5_json
120238,menu_category,Đồ Uống Mới - Hạ Mọng,menu_item_from_top5_json
120238,menu_category,Trà Đặc Biệt,menu_item_from_top5_json
126162,primary,Cà Phê/Trà,store_from_top5_json
126162,google_type,Quán cà phê,google_maps_unique
126162,menu_category,Menu,menu_item_from_top5_json
103957,primary,Trà sữa,store_from_top5_json
103957,google_type,Quán cà phê,google_maps_unique
103957,foody_category,Café/Dessert,foody_hust_places
103957,foody_cuisine,Món Việt,foody_hust_places
103957,foody_cuisine,Món Trung Hoa,foody_hust_places
103957,foody_cuisine,Món Thái,foody_hust_places
103957,menu_category,Best Sell,menu_item_from_top5_json
103957,menu_category,Trà Sữa,menu_item_from_top5_json
103957,menu_category,Trà Chanh Giã Tay,menu_item_from_top5_json
103957,menu_category,Trà Sữa Thái,menu_item_from_top5_json
103957,menu_category,Trà Hoa Quả,menu_item_from_top5_json
103957,menu_category,Hoa Quả Đá Xay,menu_item_from_top5_json
103957,menu_category,Cà Phê,menu_item_from_top5_json
103957,menu_category,Nước Dừa - Nước Mía,menu_item_from_top5_json
103957,menu_category,Đồ Nóng,menu_item_from_top5_json
103957,menu_category,Món Mới,menu_item_from_top5_json
4389,primary,Trà sữa,store_from_top5_json
4389,google_type,Trà trân châu,google_maps_unique
4389,google_type,Cửa hàng bán nước quả ép,google_maps_unique
4389,google_type,Quầy giải khát,google_maps_unique
4389,google_type,Cửa hàng trà,google_maps_unique
4389,foody_category,CafÃ©/Dessert,foody_hust_places
4389,foody_cuisine,Ä�Ã i Loan,foody_hust_places
4389,foody_audience,Cáº·p Ä‘Ã´i,foody_hust_places
4389,foody_audience,Gia Ä‘Ã¬nh,foody_hust_places
4389,foody_audience,NhÃ³m há»™i,foody_hust_places
4389,wifi,QUYNHCHI::chinhi24042006,foody_hust_places
4389,menu_category,Ưu Đãi Độc Quyền,menu_item_from_top5_json
4389,menu_category,Trà Sữa,menu_item_from_top5_json
4389,menu_category,Trà Trái Cây,menu_item_from_top5_json
4389,menu_category,Chocolate & Matcha,menu_item_from_top5_json
4389,menu_category,Trà Đài Loan,menu_item_from_top5_json
4389,menu_category,Kem Mousse,menu_item_from_top5_json
4389,menu_category,Sữa Trái Cây,menu_item_from_top5_json
4389,menu_category,Cake Cream,menu_item_from_top5_json
4389,menu_category,Trà Sữa Sữa Tươi - Latte,menu_item_from_top5_json
2188,primary,Ăn vặt,store_from_top5_json
2188,google_type,Quán ăn nhỏ,google_maps_unique
2188,foody_category,Shop Online,foody_hust_places
2188,foody_cuisine,MÃ³n Viá»‡t,foody_hust_places
2188,foody_audience,Sinh viÃªn,foody_hust_places
2188,foody_audience,Cáº·p Ä‘Ã´i,foody_hust_places
2188,foody_audience,Giá»›i vÄƒn phÃ²ng,foody_hust_places
2188,menu_category,menu,menu_item_from_top5_json
2188,menu_category,Mì Ý,menu_item_from_top5_json
2188,menu_category,Đồ Uống,menu_item_from_top5_json
2188,menu_category,Salad,menu_item_from_top5_json
2188,menu_category,Đồ Ăn Vặt,menu_item_from_top5_json
