store_id,service_option,value,source_name
9934,Ăn_tại_chỗ,True,google_maps_unique
9934,Dịch vụ ăn uống,True,google_maps_unique
9934,Phục vụ tại bàn,True,google_maps_unique
7160,Ăn_tại_chỗ,True,google_maps_unique
7160,Đồ_ăn_mang_đi,True,google_maps_unique
7160,giao_hàng,True,google_maps_unique
7160,Bữa sáng,True,google_maps_unique
7160,Bữa nửa buổi,True,google_maps_unique
7160,Bữa trưa,True,google_maps_unique
7160,Bữa tối,True,google_maps_unique
7160,Dịch vụ ăn uống,True,google_maps_unique
7160,Dịch vụ tại quầy,True,google_maps_unique
7160,Phục vụ tại bàn,True,google_maps_unique
67067,giao_hàng,True,google_maps_unique
111026,Ăn_tại_chỗ,True,google_maps_unique
111026,Đồ_ăn_mang_đi,True,google_maps_unique
111026,giao_hàng_gián_tiếp,True,google_maps_unique
111026,Bữa trưa,True,google_maps_unique
111026,Bữa tối,True,google_maps_unique
111026,Dịch vụ ăn uống,True,google_maps_unique
111026,Phục vụ tại bàn,True,google_maps_unique
62366,Ăn_tại_chỗ,True,google_maps_unique
62366,Đồ_ăn_mang_đi,True,google_maps_unique
62366,giao_hàng,True,google_maps_unique
62366,Bữa sáng,True,google_maps_unique
62366,Bữa nửa buổi,True,google_maps_unique
62366,Bữa trưa,True,google_maps_unique
62366,Bữa tối,True,google_maps_unique
62366,Dịch vụ ăn uống,True,google_maps_unique
62366,Món tráng miệng,True,google_maps_unique
62366,Chỗ ngồi,True,google_maps_unique
62366,Phục vụ tại bàn,True,google_maps_unique
120238,Ăn_tại_chỗ,True,google_maps_unique
126162,Ăn_tại_chỗ,True,google_maps_unique
126162,Đồ_ăn_mang_đi,True,google_maps_unique
126162,giao_hàng_gián_tiếp,True,google_maps_unique
103957,Ăn_tại_chỗ,True,google_maps_unique
4389,Ăn_tại_chỗ,True,google_maps_unique
4389,Đồ_ăn_mang_đi,True,google_maps_unique
4389,giao_hàng,True,google_maps_unique
2188,Ăn_tại_chỗ,True,google_maps_unique
2188,Đồ_ăn_mang_đi,True,google_maps_unique
2188,giao_hàng,True,google_maps_unique
2188,Bữa nửa buổi,True,google_maps_unique
2188,Bữa trưa,True,google_maps_unique
2188,Bữa tối,True,google_maps_unique
2188,Dịch vụ ăn uống,True,google_maps_unique
2188,Món tráng miệng,True,google_maps_unique
2188,Phục vụ tại bàn,True,google_maps_unique
93168,Ăn_tại_chỗ,True,google_maps_unique
93168,mua_hàng_ngay_trên_xe,True,google_maps_unique
93168,giao_hàng_gián_tiếp,True,google_maps_unique
93168,Bữa sáng,True,google_maps_unique
42458,Ăn_tại_chỗ,True,google_maps_unique
42458,Đồ_ăn_mang_đi,True,google_maps_unique
42458,giao_hàng_gián_tiếp,True,google_maps_unique
42458,Bữa nửa buổi,True,google_maps_unique
