store_id,tag_type,tag_value,source_name
37364,crowd,chao_đon_nhung_nguoi_thuoc_gioi_lgbtq,google
37364,crowd,danh_cho_gia_đinh,google
37364,crowd,noi_an_toan_cho_nguoi_chuyen_gioi,google
37364,popular_for,bua_sang,google
37364,dining_time_or_option,bua_sang,google
37364,dining_time_or_option,bua_nua_buoi,google
37364,dining_time_or_option,bua_trua,google
37364,dining_time_or_option,bua_toi,google
37364,dining_time_or_option,dich_vu_an_uong,google
37364,dining_time_or_option,dich_vu_tai_quay,google
37364,dining_time_or_option,mon_trang_mieng,google
37364,dining_time_or_option,cho_ngoi,google
37364,dining_time_or_option,phuc_vu_tai_ban,google
37364,atmosphere,thong_thuong,google
