store_id,store_key,store_name,rated_at,rating,feedback,source,review_id,name_norm,aspect_scores,sentiment,confidence
11471,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,,4.5,"Ngon xỉu, Sạch sẽ, Đóng gói tốt, Khác",befood_comment,b31bafef6a6c5f4f,thien-truong-pho-co-com-ga-xoi-mam-giai-phong,{},neutral,0.0
11471,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,,4.5,"Ngon xỉu, Đóng gói tốt",befood_comment,58884e5ebe3ac1c9,thien-truong-pho-co-com-ga-xoi-mam-giai-phong,{},neutral,0.0
11471,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,,4.5,Sai/Thiếu món,befood_comment,2e8f091631a99785,thien-truong-pho-co-com-ga-xoi-mam-giai-phong,{},neutral,0.0
11471,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,,4.5,Khá ngon,befood_comment,851efab10ca73713,thien-truong-pho-co-com-ga-xoi-mam-giai-phong,{},neutral,0.0
11471,11471,Thiên Trường - Phở Cồ & Cơm Gà Xối Mắm - Giải Phóng,,4.5,"quán làm ăn cực kỳ tệ mình mua gửi bác đang nằm ở viện ung bướu( bác bị u.thu) dặn không hành rất to rồi nhưng vẫn cho 1 đống. bác ốm và không ăn được chút nào cả. cực kỳ bực bội, Không hợp khẩu vị, Sai/Thiếu món, Không làm đúng ghi chú",befood_comment,db76f1976fb4e848,thien-truong-pho-co-com-ga-xoi-mam-giai-phong,{},neutral,0.0
11326,11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,,4.8,Đáng đồng tiền,befood_comment,38ef02ba212b466a,huynh-duyen-com-van-phong-nuoc-ep-giai-phong,{},neutral,0.0
11326,11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,,4.8,"Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt",befood_comment,bc445469771870b9,huynh-duyen-com-van-phong-nuoc-ep-giai-phong,{},neutral,0.0
11326,11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,,4.8,"Ngon xỉu, Đáng đồng tiền, Đóng gói tốt, Sạch sẽ",befood_comment,e90946fe5e330b0d,huynh-duyen-com-van-phong-nuoc-ep-giai-phong,{},neutral,0.0
11326,11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,,4.8,"siêu ngon luôn ya ✧(σ๑˃̶̀ꇴ˂̶́)σ siêu recommend mn mua nha (◍˃̶ᗜ˂̶◍)ﾉ” ăn siêu no \(ϋ)/♩, Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt",befood_comment,ea92d4a304b91d71,huynh-duyen-com-van-phong-nuoc-ep-giai-phong,{},neutral,0.0
11326,11326,Huỳnh Duyên - Cơm Văn Phòng & Nước Ép - Giải Phóng,,4.8,ko giống cơm vp,befood_comment,12cf45f29ea20b39,huynh-duyen-com-van-phong-nuoc-ep-giai-phong,{},neutral,0.0
8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,,4.6,"cơm giòn ngon, Đóng gói tốt, Đáng đồng tiền, Sạch sẽ, Ngon xỉu",befood_comment,4f5984817280af3b,pho-bo-com-rang-duy-nhat-giai-phong,{},neutral,0.0
8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,,4.6,"để đây và không nói gì , đặt nhiều lần r nhưng lần đầu bị như này chắc không có lần sau, Không đảm bảo vệ sinh",befood_comment,dbb8e7f078a878fe,pho-bo-com-rang-duy-nhat-giai-phong,{},neutral,0.0
8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,,4.6,Sạch sẽ,befood_comment,2af46641d7006282,pho-bo-com-rang-duy-nhat-giai-phong,{},neutral,0.0
8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,,4.6,Đáng đồng tiền,befood_comment,a57e2ff5f83d9ca4,pho-bo-com-rang-duy-nhat-giai-phong,{},neutral,0.0
8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,,4.6,Đóng gói tốt,befood_comment,0b6e54fb55a62d8d,pho-bo-com-rang-duy-nhat-giai-phong,{},neutral,0.0
8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,,4.6,"Đáng đồng tiền, Ngon xỉu, Sạch sẽ, Đóng gói tốt",befood_comment,3f00b8f79cdd65ed,pho-bo-com-rang-duy-nhat-giai-phong,{},neutral,0.0
8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,,4.6,"Ngon xỉu, Đáng đồng tiền, Sạch sẽ, Đóng gói tốt",befood_comment,fde5e6063834b72d,pho-bo-com-rang-duy-nhat-giai-phong,{},neutral,0.0
8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,,4.6,Khá ngon,befood_comment,0f92bffdac0e0729,pho-bo-com-rang-duy-nhat-giai-phong,{},neutral,0.0
8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,,4.6,Đóng gói chưa tốt,befood_comment,067f0442bf3588bd,pho-bo-com-rang-duy-nhat-giai-phong,{},neutral,0.0
8314,8314,Phở Bò Cơm Rang Duy Nhất - Giải Phóng,,4.6,"phở xào hơi nhạt, hình như thiếu magie, cơm cũm hơi nhạt, mỗi nc canh là đậm",befood_comment,c245f9e52651f9a3,pho-bo-com-rang-duy-nhat-giai-phong,{},neutral,0.0
126147,126147,"Nhà Hàng Bin Bo - Bún Riêu Cua, Cơm Rang & Phở Xào - Phương Mai",,4.3,không giống trên ảnh,befood_comment,c052075a94117be3,nha-hang-bin-bo-bun-rieu-cua-com-rang-pho-xao-phuong-mai,{},neutral,0.0
59967,59967,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,,3.9,"đũa mốc , chả có 5 miếng , trải nhiệm rất tệ, Không đảm bảo vệ sinh",befood_comment,856653aa94c915f9,quan-ha-noi-xua-bun-cha-truong-chinh,{},neutral,0.0
59967,59967,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,,3.9,"Đóng gói tốt, Đáng đồng tiền",befood_comment,ab33fb4f749c77ea,quan-ha-noi-xua-bun-cha-truong-chinh,{},neutral,0.0
59967,59967,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,,3.9,Normal,befood_comment,3fdd14b71dc3bd0a,quan-ha-noi-xua-bun-cha-truong-chinh,{},neutral,0.0
59967,59967,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,,3.9,không có nước chấm,befood_comment,6171cc4bcedb39e0,quan-ha-noi-xua-bun-cha-truong-chinh,{},neutral,0.0
59967,59967,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,,3.9,50k mà được có mấy miếng ????,befood_comment,df3e9851b3929fb9,quan-ha-noi-xua-bun-cha-truong-chinh,{},neutral,0.0
59967,59967,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,,3.9,"chả băm ok chả miếng thì hơi chán, giá không rẻ nhưng thịt dai và có phần hơi bèo nhèo, ai fan thịt ba chỉ thì không ưng nổi ?",befood_comment,f74c9edfc07b7cd2,quan-ha-noi-xua-bun-cha-truong-chinh,{},neutral,0.0
59967,59967,Quán Hà Nội Xưa - Bún Chả - Trường Chinh,,3.9,cơm dở,befood_comment,17ed891e32f351a4,quan-ha-noi-xua-bun-cha-truong-chinh,{},neutral,0.0
